monitor_id,source_id,source_group_id,provider,name,method,request_template,request_body_json,cadence_seconds,timeout_ms,freshness_rule,required_checks,public_visibility,activation_status,documentation_url,notes
P14-M011,HKAPI-009,P01-SG-02,Digital Policy Office,Historical archive data dictionary,GET,https://app.data.gov.hk/v1/historical-archive/get-data-dictionary?url={discovered_dataset_url}&date={discovered_archive_date},,86400,30000,dependency_result,"availability;redirect;media;hash",private_until_review,specified_pending_approval,https://data.gov.hk/en/help/api-spec,Dependency arguments come from approved discovery
P14-M012,HKAPI-016,P01-SG-05,Hong Kong Observatory,Local weather forecast English,GET,https://data.weather.gov.hk/weatherAPI/opendata/weather.php?dataType=flw&lang=en,,1800,15000,updateTime_age<=21600,"availability;json;contract;freshness;schema",pending_review,specified_pending_approval,https://data.weather.gov.hk/weatherAPI/doc/HKO_Open_Data_API_Documentation.pdf,HKO document version 1.13
P14-M013,HKAPI-016,P01-SG-05,Hong Kong Observatory,9-day forecast English,GET,https://data.weather.gov.hk/weatherAPI/opendata/weather.php?dataType=fnd&lang=en,,3600,15000,updateTime_age<=21600,"availability;json;contract;freshness;schema",pending_review,specified_pending_approval,https://data.weather.gov.hk/weatherAPI/doc/HKO_Open_Data_API_Documentation.pdf,HKO document version 1.13
P14-M014,HKAPI-016,P01-SG-05,Hong Kong Observatory,Current weather report English,GET,https://data.weather.gov.hk/weatherAPI/opendata/weather.php?dataType=rhrread&lang=en,,600,15000,updateTime_age<=7200,"availability;json;contract;freshness;schema;semantic",pending_review,specified_pending_approval,https://data.weather.gov.hk/weatherAPI/doc/HKO_Open_Data_API_Documentation.pdf,HKO document version 1.13
P14-M015,HKAPI-016,P01-SG-05,Hong Kong Observatory,Weather warning summary English,GET,https://data.weather.gov.hk/weatherAPI/opendata/weather.php?dataType=warnsum&lang=en,,300,15000,event_state_rule,"availability;json;contract;schema;semantic",pending_review,specified_pending_approval,https://data.weather.gov.hk/weatherAPI/doc/HKO_Open_Data_API_Documentation.pdf,No active warning is a valid empty state
P14-M016,HKAPI-016,P01-SG-05,Hong Kong Observatory,Weather warning information English,GET,https://data.weather.gov.hk/weatherAPI/opendata/weather.php?dataType=warningInfo&lang=en,,300,15000,event_state_rule,"availability;json;contract;schema;semantic",pending_review,specified_pending_approval,https://data.weather.gov.hk/weatherAPI/doc/HKO_Open_Data_API_Documentation.pdf,No active warning is a valid empty state
P14-M017,HKAPI-016,P01-SG-05,Hong Kong Observatory,Special weather tips English,GET,https://data.weather.gov.hk/weatherAPI/opendata/weather.php?dataType=swt&lang=en,,300,15000,event_state_rule,"availability;json;contract;schema",pending_review,specified_pending_approval,https://data.weather.gov.hk/weatherAPI/doc/HKO_Open_Data_API_Documentation.pdf,No active tip is a valid empty state
P14-M018,HKAPI-016,P01-SG-05,Hong Kong Observatory,Local weather forecast Traditional Chinese,GET,https://data.weather.gov.hk/weatherAPI/opendata/weather.php?dataType=flw&lang=tc,,1800,15000,updateTime_age<=21600,"availability;json;contract;freshness;schema;bilingual_pair:P14-M012",pending_review,specified_pending_approval,https://data.weather.gov.hk/weatherAPI/doc/HKO_Open_Data_API_Documentation.pdf,Bilingual parity does not require identical text
P14-M019,HKAPI-016,P01-SG-05,Hong Kong Observatory,9-day forecast Traditional Chinese,GET,https://data.weather.gov.hk/weatherAPI/opendata/weather.php?dataType=fnd&lang=tc,,3600,15000,updateTime_age<=21600,"availability;json;contract;freshness;schema;bilingual_pair:P14-M013",pending_review,specified_pending_approval,https://data.weather.gov.hk/weatherAPI/doc/HKO_Open_Data_API_Documentation.pdf,Bilingual parity does not require identical text
P14-M020,HKAPI-016,P01-SG-05,Hong Kong Observatory,Current weather report Traditional Chinese,GET,https://data.weather.gov.hk/weatherAPI/opendata/weather.php?dataType=rhrread&lang=tc,,600,15000,updateTime_age<=7200,"availability;json;contract;freshness;schema;bilingual_pair:P14-M014",pending_review,specified_pending_approval,https://data.weather.gov.hk/weatherAPI/doc/HKO_Open_Data_API_Documentation.pdf,Bilingual parity does not require identical text
P14-M021,HKAPI-016,P01-SG-05,Hong Kong Observatory,Weather warning summary Traditional Chinese,GET,https://data.weather.gov.hk/weatherAPI/opendata/weather.php?dataType=warnsum&lang=tc,,300,15000,event_state_rule,"availability;json;contract;schema;bilingual_pair:P14-M015",pending_review,specified_pending_approval,https://data.weather.gov.hk/weatherAPI/doc/HKO_Open_Data_API_Documentation.pdf,No active warning is a valid empty state
P14-M022,HKAPI-016,P01-SG-05,Hong Kong Observatory,Weather warning information Traditional Chinese,GET,https://data.weather.gov.hk/weatherAPI/opendata/weather.php?dataType=warningInfo&lang=tc,,300,15000,event_state_rule,"availability;json;contract;schema;bilingual_pair:P14-M016",pending_review,specified_pending_approval,https://data.weather.gov.hk/weatherAPI/doc/HKO_Open_Data_API_Documentation.pdf,No active warning is a valid empty state
P14-M023,HKAPI-016,P01-SG-05,Hong Kong Observatory,Special weather tips Traditional Chinese,GET,https://data.weather.gov.hk/weatherAPI/opendata/weather.php?dataType=swt&lang=tc,,300,15000,event_state_rule,"availability;json;contract;schema;bilingual_pair:P14-M017",pending_review,specified_pending_approval,https://data.weather.gov.hk/weatherAPI/doc/HKO_Open_Data_API_Documentation.pdf,No active tip is a valid empty state
P14-M024,HKAPI-016,P01-SG-05,Hong Kong Observatory,Quick earthquake messages,GET,https://data.weather.gov.hk/weatherAPI/opendata/earthquake.php?dataType=qem&lang=en,,900,15000,event_state_rule,"availability;json;contract;schema;geometry",pending_review,specified_pending_approval,https://data.weather.gov.hk/weatherAPI/doc/HKO_Open_Data_API_Documentation.pdf,Event-driven source
P14-M025,HKAPI-016,P01-SG-05,Hong Kong Observatory,Locally felt earthquake report,GET,https://data.weather.gov.hk/weatherAPI/opendata/earthquake.php?dataType=feltearthquake&lang=en,,900,15000,event_state_rule,"availability;json;contract;schema;geometry",pending_review,specified_pending_approval,https://data.weather.gov.hk/weatherAPI/doc/HKO_Open_Data_API_Documentation.pdf,Event-driven source
P14-M026,HKAPI-016,P01-SG-05,Hong Kong Observatory,Hourly astronomical tide heights sample,GET,https://data.weather.gov.hk/weatherAPI/opendata/opendata.php?dataType=HHOT&rformat=json&station=QUB&year=2024&month=12&day=1,,86400,30000,static_reference,"availability;json;contract;schema;semantic",pending_review,specified_pending_approval,https://data.weather.gov.hk/weatherAPI/doc/HKO_Open_Data_API_Documentation.pdf,Static reference probe avoids claiming current tide freshness
P14-M027,HKAPI-016,P01-SG-05,Hong Kong Observatory,Astronomical high and low tides sample,GET,https://data.weather.gov.hk/weatherAPI/opendata/opendata.php?dataType=HLT&rformat=json&station=QUB&year=2024&month=12,,86400,30000,static_reference,"availability;json;contract;schema;semantic",pending_review,specified_pending_approval,https://data.weather.gov.hk/weatherAPI/doc/HKO_Open_Data_API_Documentation.pdf,Static reference probe
P14-M028,HKAPI-016,P01-SG-05,Hong Kong Observatory,Sunrise transit and sunset sample,GET,https://data.weather.gov.hk/weatherAPI/opendata/opendata.php?dataType=SRS&rformat=json&year=2024&month=12,,86400,30000,static_reference,"availability;json;contract;schema;semantic",pending_review,specified_pending_approval,https://data.weather.gov.hk/weatherAPI/doc/HKO_Open_Data_API_Documentation.pdf,Static reference probe
P14-M029,HKAPI-016,P01-SG-05,Hong Kong Observatory,Moonrise transit and moonset sample,GET,https://data.weather.gov.hk/weatherAPI/opendata/opendata.php?dataType=MRS&rformat=json&year=2024&month=12,,86400,30000,static_reference,"availability;json;contract;schema;semantic",pending_review,specified_pending_approval,https://data.weather.gov.hk/weatherAPI/doc/HKO_Open_Data_API_Documentation.pdf,Static reference probe
P14-M030,HKAPI-016,P01-SG-05,Hong Kong Observatory,Lightning count,GET,https://data.weather.gov.hk/weatherAPI/opendata/opendata.php?dataType=LHL&rformat=json&lang=en,,900,15000,provider_timestamp_rule,"availability;json;contract;schema;freshness",pending_review,specified_pending_approval,https://data.weather.gov.hk/weatherAPI/doc/HKO_Open_Data_API_Documentation.pdf,Freshness is based on returned provider time when present
P14-M031,HKAPI-016,P01-SG-05,Hong Kong Observatory,Latest 10-minute visibility,GET,https://data.weather.gov.hk/weatherAPI/opendata/opendata.php?dataType=LTMV&rformat=json&lang=en,,600,15000,provider_timestamp_age<=1800,"availability;json;contract;schema;freshness",pending_review,specified_pending_approval,https://data.weather.gov.hk/weatherAPI/doc/HKO_Open_Data_API_Documentation.pdf,Near-real-time visibility
P14-M032,HKAPI-016,P01-SG-05,Hong Kong Observatory,Daily mean temperature sample,GET,https://data.weather.gov.hk/weatherAPI/opendata/opendata.php?dataType=CLMTEMP&rformat=json&station=HKO&year=2024&month=12,,86400,30000,static_reference,"availability;json;contract;schema;semantic",pending_review,specified_pending_approval,https://data.weather.gov.hk/weatherAPI/doc/HKO_Open_Data_API_Documentation.pdf,Static climatological reference probe
P14-M033,HKAPI-016,P01-SG-05,Hong Kong Observatory,Daily maximum temperature sample,GET,https://data.weather.gov.hk/weatherAPI/opendata/opendata.php?dataType=CLMMAXT&rformat=json&station=HKO&year=2024&month=12,,86400,30000,static_reference,"availability;json;contract;schema;semantic",pending_review,specified_pending_approval,https://data.weather.gov.hk/weatherAPI/doc/HKO_Open_Data_API_Documentation.pdf,Static climatological reference probe
P14-M034,HKAPI-016,P01-SG-05,Hong Kong Observatory,Daily minimum temperature sample,GET,https://data.weather.gov.hk/weatherAPI/opendata/opendata.php?dataType=CLMMINT&rformat=json&station=HKO&year=2024&month=12,,86400,30000,static_reference,"availability;json;contract;schema;semantic",pending_review,specified_pending_approval,https://data.weather.gov.hk/weatherAPI/doc/HKO_Open_Data_API_Documentation.pdf,Static climatological reference probe
P14-M035,HKAPI-016,P01-SG-05,Hong Kong Observatory,Weather and radiation report sample,GET,https://data.weather.gov.hk/weatherAPI/opendata/opendata.php?dataType=RYES&rformat=json&year=2024&month=12,,86400,30000,static_reference,"availability;json;contract;schema;semantic",pending_review,specified_pending_approval,https://data.weather.gov.hk/weatherAPI/doc/HKO_Open_Data_API_Documentation.pdf,Static report probe
P14-M036,HKAPI-016,P01-SG-05,Hong Kong Observatory,Past-hour automatic-station rainfall,GET,https://data.weather.gov.hk/weatherAPI/opendata/hourlyRainfall.php?lang=en,,600,15000,obsTime_age<=7200,"availability;json;contract;schema;freshness;semantic",pending_review,specified_pending_approval,https://data.weather.gov.hk/weatherAPI/doc/HKO_Open_Data_API_Documentation.pdf,Value M means maintenance and is not parsed as zero
P14-M037,HKAPI-018,P01-SG-07,Hong Kong Monetary Authority,Daily exchange rates and EERI,GET,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/er-ir/er-eeri-daily?pagesize=10&offset=0,,86400,30000,latest_business_date<=2bd,"availability;json;contract;schema;freshness",pending_review,specified_pending_approval,https://apidocs.hkma.gov.hk/documentation/market-data-and-statistics/monthly-statistical-bulletin/er-ir/er-eeri-daily/,Business-day calendar is Hong Kong
P14-M038,HKAPI-018,P01-SG-07,Hong Kong Monetary Authority,Daily HIBOR fixing,GET,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/er-ir/hk-interbank-ir-daily?segment=hibor.fixing&pagesize=10&offset=0,,86400,30000,latest_business_date<=2bd,"availability;json;contract;schema;freshness",pending_review,specified_pending_approval,https://apidocs.hkma.gov.hk/documentation/market-data-and-statistics/monthly-statistical-bulletin/er-ir/hk-interbank-ir-daily/,Business-day calendar is Hong Kong
P14-M039,HKAPI-018,P01-SG-07,Hong Kong Monetary Authority,HKD interest rates effective dates,GET,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/er-ir/hkd-ir-effdates?pagesize=10&offset=0,,86400,30000,latest_record_rule,"availability;json;contract;schema",pending_review,specified_pending_approval,https://apidocs.hkma.gov.hk/documentation/market-data-and-statistics/monthly-statistical-bulletin/er-ir/hkd-ir-effdates/,Reference rates change irregularly
P14-M040,HKAPI-018,P01-SG-07,Hong Kong Monetary Authority,Composite interest rate,GET,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/er-ir/composite-ir?pagesize=10&offset=0,,86400,30000,latest_month<=45d,"availability;json;contract;schema;freshness",pending_review,specified_pending_approval,https://apidocs.hkma.gov.hk/documentation/market-data-and-statistics/monthly-statistical-bulletin/er-ir/composite-ir/,Monthly series
P14-M041,HKAPI-018,P01-SG-07,Hong Kong Monetary Authority,Register of authorized institutions and LROs,GET,https://api.hkma.gov.hk/public/bank-svf-info/register-ais-lros?lang=en&pagesize=10&offset=0,,86400,30000,retrieval_only,"availability;json;contract;schema;semantic",pending_review,specified_pending_approval,https://apidocs.hkma.gov.hk/documentation/bank-svf-info/register-ais-lros/,Reference register
P14-M042,HKAPI-018,P01-SG-07,Hong Kong Monetary Authority,Register of SVF licensees,GET,https://api.hkma.gov.hk/public/bank-svf-info/register-svf-licensees?lang=en&segment=SVFLic&pagesize=10&offset=0,,86400,30000,retrieval_only,"availability;json;contract;schema;semantic",pending_review,specified_pending_approval,https://apidocs.hkma.gov.hk/documentation/bank-svf-info/register-svf-licensees/,Reference register
P14-M043,HKAPI-018,P01-SG-07,Hong Kong Monetary Authority,Press releases,GET,https://api.hkma.gov.hk/public/press-releases?lang=en&pagesize=10&offset=0,,3600,30000,event_state_rule,"availability;json;contract;schema",pending_review,specified_pending_approval,https://apidocs.hkma.gov.hk/documentation/press-releases/,No new release is a valid state
P14-M044,HKAPI-018,P01-SG-07,Hong Kong Monetary Authority,inSight articles,GET,https://api.hkma.gov.hk/public/insight-articles?lang=en&pagesize=10&offset=0,,21600,30000,event_state_rule,"availability;json;contract;schema",pending_review,specified_pending_approval,https://apidocs.hkma.gov.hk/documentation/insight-articles/,No new article is a valid state
P14-M045,HKAPI-018,P01-SG-07,Hong Kong Monetary Authority,Tender invitations,GET,https://api.hkma.gov.hk/public/tender-invitations?lang=en&segment=tender&pagesize=10&offset=0,,21600,30000,event_state_rule,"availability;json;contract;schema",pending_review,specified_pending_approval,https://apidocs.hkma.gov.hk/documentation/tender-invitations/,No current tender is a valid state
P14-M046,HKAPI-018,P01-SG-07,Hong Kong Monetary Authority,Register of securities staff sample,GET,https://api.hkma.gov.hk/public/bank-svf-info/register-ais-secstaff?lang=en&searchtype=engName&is_curr_rel_indiv=0&surname=chan,,86400,30000,retrieval_only,"availability;json;contract;schema",private_until_review,specified_pending_approval,https://apidocs.hkma.gov.hk/documentation/bank-svf-info/register-ais-secstaff/,Public display requires privacy and purpose review
P14-M047,HKAPI-013,P01-SG-03,Lands Department / contributing provider,CSDI sample WFS capabilities,GET,https://portal.csdi.gov.hk/server/services/common/landsd_rcd_1648571595120_89752/MapServer/WFSServer?service=WFS&version=2.0.0&request=GetCapabilities,,21600,30000,retrieval_only,"availability;xml;contract;schema",pending_review,specified_pending_approval,https://portal.csdi.gov.hk/csdi-webpage/doc/GeoSpatialServices,Sample service from official documentation must be rechecked at activation
P14-M048,HKAPI-013,P01-SG-03,Lands Department / contributing provider,CSDI sample WFS bounded feature query,GET,"https://portal.csdi.gov.hk/server/services/common/landsd_rcd_1648571595120_89752/MapServer/WFSServer?service=WFS&version=2.0.0&request=GetFeature&typeNames=GEO_PLACE_NAME&outputFormat=GeoJSON&srsName=EPSG:4326&bbox=22.262474243164064,114.1035038986206,22.32152575683594,114.25302095794677&count=10&resultType=results&startIndex=0",,21600,30000,retrieval_only,"availability;geojson;contract;schema;geometry",pending_review,specified_pending_approval,https://portal.csdi.gov.hk/csdi-webpage/doc/GeoSpatialServices,Count is reduced from official example to limit load
P14-M049,HKAPI-013,P01-SG-03,Lands Department / contributing provider,CSDI sample ArcGIS layer count query,GET,"https://portal.csdi.gov.hk/server/rest/services/common/landsd_rcd_1648571595120_89752/FeatureServer/0/query?f=json&returnGeometry=false&where=1%3D1&returnCountOnly=true",,21600,30000,retrieval_only,"availability;json;contract;schema;geometry_metadata",pending_review,specified_pending_approval,https://portal.csdi.gov.hk/csdi-webpage/doc/GeoSpatialServices,Read-only count query
P14-M050,HKAPI-034,P14-ONLY-01,MTR Corporation,Real-time MTR Bus K12 schedule,POST,https://rt.data.gov.hk/v1/transport/mtr/bus/getSchedule,"{""language"":""en"",""routeName"":""K12""}",60,15000,schedule_refresh<=120s,"availability;json;contract;schema;freshness;semantic",pending_review,specified_pending_approval,https://opendata.mtr.com.hk/doc/MTR_BUS_API_Spec_v1.13.pdf,POST is read-only; 429 is retried according to Retry-After
